id,text_no_spaces,predicted_positions,predicted_text
41,ищуквартирунедорогосрочно,"[3, 12, 21]",ищу квартирун едорогоср очно
42,новыйайфондоставка,[5],новый айфондоставка
43,куплюгитаруYamaha,"[1, 12]",к уплюгитаруY amaha
44,ищустудиюуметро,"[3, 10]",ищу студиюу метро
45,сдамквартирумолодоженам,"[1, 5, 14]",с дамк вартирумо лодоженам
46,куплюкомпьютеригровой,"[1, 6, 16]",к уплюк омпьютериг ровой
47,ищуработуповаромвкафе,"[3, 10, 18]",ищу работуп оваромвк афе
48,новыйдиванIkea,"[5, 11]",новый диванI kea
49,куплюстарыйноутбук,"[1, 11]",к уплюстарый ноутбук
50,ищусобакудобермана,"[3, 9]",ищу собаку добермана
51,срочносдаюкомнату,[6],срочно сдаюкомнату
52,куплюмониторLG,"[1, 13]",к уплюмониторL G
53,ищумастерапосантехнике,"[5, 11, 14, 17]",ищума стерап оса нте хнике
54,новыйстолдоставка,[5],новый столдоставка
55,куплюайфон13мини,"[1, 6, 12, 15]",к уплюа йфон13 мин и
56,ищудевушкудляотношений,"[3, 11, 15]",ищу девушкуд ляот ношений
57,сдаюдачуналето,[4],сдаю дачуналето
58,куплюстиральнуюмашинуLG,"[1, 16, 23]",к уплюстиральнуюм ашинуLG
59,ищуучителяанглийскогоязыка,"[3, 11, 23]",ищу учителяа нглийскогояз ыка
60,новыйноутбукAsus,[5],новый ноутбукAsus
61,куплюматрасортопедический,[8],куплюмат расортопедический
62,ищукомнатунадлительныйсрок,"[3, 11, 24]",ищу комнатун адлительныйср ок
63,сдамквартирубеззалога,"[1, 5, 14, 18]",с дамк вартирубе ззал ога
64,куплюхолодильникAtlant,"[1, 17]",к уплюхолодильникA tlant
65,ищусобакушпица,[3],ищу собакушпица
66,новаястиральнаямашинадоставка,"[5, 16, 23]",новая стиральнаям ашинадо ставка
67,куплютелевизорSony,[],куплютелевизорSony
68,ищурепетиторапогеографии,"[5, 14, 17]",ищуре петиторап оге ографии
69,сдаюкомнатусмебелью,"[1, 5, 13, 15]",с даюк омнатусм еб елью
70,куплюпылесосDyson,"[7, 12]",куплюпы лесос Dyson
71,ищуработуофицианткой,"[3, 10]",ищу работуо фицианткой
72,новыйшкафкупе,[5],новый шкафкупе
73,куплюдиванугловой,"[1, 13]",к уплюдиванугл овой
74,ищуквартирунадлительныйсрок,"[3, 12, 25]",ищу квартирун адлительныйср ок
75,сдамгаражваренду,"[1, 5, 11, 13]",с дамг аражва ре нду
76,куплювелосипедStels,"[1, 6, 16]",к уплюв елосипедSt els
77,ищуврачапедиатра,"[2, 9]",ищ уврачап едиатра
78,новыйтелефонOppo,"[5, 13]",новый телефонO ppo
79,куплюмикроволновкуSamsung,"[1, 6, 20]",к уплюм икроволновкуSa msung
80,ищукомнатудлядевушки,"[3, 11, 15]",ищу комнатуд ляде вушки
81,срочнопродамшкаф,[6],срочно продамшкаф
82,куплюPlaystation4slim,[5],куплю Playstation4slim
83,ищусобакунемецкуюовчарку,"[3, 10, 20, 22]",ищу собакун емецкуюовч ар ку
84,новаякуртказима,[5],новая куртказима
85,куплютелефонHonor,"[6, 13]",куплют елефонH onor
86,ищуподругудляпрогулок,"[3, 11, 15]",ищу подругуд ляпр огулок
87,сдаюквартирусемье,"[1, 5, 14]",с даюк вартирусе мье
88,куплютелевизорToshiba,[15],куплютелевизорT oshiba
89,ищумастерапоремонтустиралок,"[5, 11, 14]",ищума стерап оре монтустиралок
90,новыйдивансерый,[5],новый дивансерый
91,куплюкомодбу,"[1, 9]",к уплюкомо дбу
92,ищуучителяпоматематике,"[3, 11]",ищу учителяп оматематике
93,сдамквартирустудентам,"[1, 5, 14]",с дамк вартируст удентам
94,куплювелосипедбу,"[1, 6]",к уплюв елосипедбу
95,ищустудиюнамесяц,"[3, 10, 13]",ищу студиюн аме сяц
96,новаямикроволновкадоставка,"[5, 19]",новая микроволновкад оставка
97,ищуработунавыходные,"[3, 10, 13]",ищу работун авы ходные
98,куплютелефонHuawei,[6],куплют елефонHuawei
99,"продамшкаф,почтиновый,сзеркалами","[6, 12, 18, 25]","продам шкаф,п очтино вый,сзе ркалами"
100,"ищукнигубратьякарамазовы,срочно","[3, 8]","ищу книгу братьякарамазовы,срочно"
101,"новыймонитор,27дюймов,доставка","[5, 14, 17, 25]","новый монитор,2 7дю ймов,дос тавка"
102,"куплюковрикдляйоги,недорого!","[13, 17, 23]","куплюковрикдл яйог и,недо рого!"
103,"ищуинструкторапоплаванию,бассейнрядом","[3, 15, 18, 28, 36]","ищу инструкторап опл аванию,бас сейнрядо м"
104,"сдамкомнату,толькодевушке","[1, 5, 14, 21]","с дамк омнату,то лькодев ушке"
105,"куплюшвейнуюмашинку,рабочую","[1, 13, 22]","к уплюшвейнуюм ашинку,ра бочую"
106,"ищудрузейдляпутешествий,летомвгоры","[4, 10, 14, 27, 33]","ищуд рузейд ляпу тешествий,лет омвгор ы"
107,"новаякофеваркаPhilips,гарантияесть","[5, 15, 25]","новая кофеваркаP hilips,гар антияесть"
108,"куплюлыжи,палкивкомплекте","[11, 18, 19]","куплюлыжи,п алкивко м плекте"
109,"ищуучителяповокалу,джаз","[3, 11, 21]","ищу учителяп овокалу,дж аз"
110,"сдамместовгараже,сухо","[1, 10, 12, 20]","с дамместов га раже,сух о"
111,"куплюдетскийвелосипед,длядевочки","[1, 13, 24, 28]","к уплюдетскийв елосипед,дл ядев очки"
112,"ищупекарявкафе,утро","[3, 10, 12]","ищу пекаряв ка фе,утро"
113,"новаястиралкаBosch,привезусам","[5, 14, 21]","новая стиралкаB osch,пр ивезусам"
114,"куплюстолписьменный,белый","[1, 6, 22]","к уплюс толписьменный,бе лый"
115,"ищупрограммистанапроект,срочно!","[3, 16, 26]","ищу программистан апроект,ср очно!"
116,"сдамстудиюпосуточно,метрорядом","[1, 5, 12, 15, 24]","с дамс тудиюпо сут очно,метр орядом"
117,"куплюсковородучугунную,диаметр28","[1, 15, 26]","к уплюсковородуч угунную,диа метр28"
118,"ищурепетиторапобиологии,ЕГЭ","[5, 14, 26]","ищуре петиторап обиологии,ЕГ Э"
119,"новаягазоваяплита,привезёмбыстро","[5, 13, 20, 29]","новая газоваяп лита,пр ивезёмбыс тро"
120,"куплюмашинуВАЗбу,находу","[1, 6, 13, 15, 21]","к уплюм ашинуВА Зб у,нахо ду"
121,"ищустоликдляноутбука,складной","[3, 10, 14, 24]","ищу столикд ляно утбука,скл адной"
122,"сдамквартирунаночь,чисто","[1, 5, 14, 17, 23]","с дамк вартируна ноч ь,чист о"
123,"куплюшкаф-купе,трёхдверный",[17],"куплюшкаф-купе,тр ёхдверный"
124,"ищукостюмнасвадьбу,мужской","[3, 10, 13, 22]","ищу костюмн асв адьбу,муж ской"
125,"новыйпылесосSamsung,коробкаесть","[5, 10, 14, 23]","новый пылес осSa msung,кор обкаесть"
126,"куплюрюкзактуристический,70литров","[1, 9, 27, 30]","к уплюрюкз актуристический,70 лит ров"
127,ищуучителяпошахматам,"[3, 11, 14]",ищу учителяп оша хматам
128,"сдампарковкувцентре,охрана","[1, 14, 15, 16, 23, 24]","с дампарковкувц е н тре,охр а на"
129,"куплюкроссовкиAdidas,оригинал","[6, 15, 22]","куплюк россовкиA didas,о ригинал"
130,"ищустолярныеуслуги,недорого","[2, 13, 21]","ищ устолярныеу слуги,не дорого"
131,"новыйтелевизорLG,гарантия2года","[5, 15, 20]","новый телевизорL G,гар антия2года"
132,"куплювазудляцветов,стеклянную","[1, 10, 14, 22]","к уплювазуд ляцв етов,сте клянную"
133,ищууборщицунавыходные,"[3, 12, 15]",ищу уборщицун авы ходные
134,"сдамофис,20квадратов","[4, 10, 13]","сдам офис,2 0кв адратов"
135,"куплюконькиженские,размер37","[1, 6, 21]","к уплюк онькиженские,ра змер37"
136,ищупереводчикасанглийского,"[3, 15]",ищу переводчикас английского
137,"новыйутюгPhilips,гарантия","[5, 10, 19]","новый утюгP hilips,га рантия"
138,"куплюнаушники,беспроводные","[1, 6, 16]","к уплюн аушники,бе спроводные"
139,"ищуплиточника,ремонтванной","[3, 15]","ищу плиточника,р емонтванной"
140,"сдамгараж,ключинаруках","[1, 5, 12]","с дамг араж,кл ючинаруках"
141,"куплюноутбук,недорого,срочно","[1, 8, 15, 18, 26]","к уплюноу тбук,не дор ого,сроч но"
142,ищугрузчиковназавтра,"[3, 13, 16]",ищу грузчиковн аза втра
143,"новыйроутерXiaomi,вайфай6","[5, 12, 20]","новый роутерX iaomi,ва йфай6"
144,"куплюколонки5.1,мощные","[1, 6, 14, 19]","к уплюк олонки5. 1,мощ ные"
145,"ищуэлектрика,розеткиискрят!","[3, 14, 22]","ищу электрика,р озеткиис крят!"
146,"сдамдачунанеделю,естьбаня","[1, 9, 12, 20]","с дамдачун ане делю,ест ьбаня"
147,"куплюмиксеркухонный,брендовый",[22],"куплюмиксеркухонный,бр ендовый"
148,ищуфотографанамероприятие,"[3, 13, 16]",ищу фотографан аме роприятие
149,новаямультиваркаRedmond,"[5, 17]",новая мультиваркаR edmond
150,"куплючайникэлектрический,новый","[1, 12, 27]","к уплючайникэ лектрический,но вый"
151,"ищупылесос,моющий","[3, 8, 13]","ищу пылес ос,мо ющий"
152,"сдамкладовку,центргорода","[1, 14, 20]","с дамкладовку,ц ентрго рода"
153,куплюкамерувидеонаблюдения,"[1, 6, 13]",к уплюк амеруви деонаблюдения
154,"ищуняню,графикгибкий","[8, 15]","ищуняню, графикг ибкий"
155,"новыйсмартфон,запечатанный","[5, 15]","новый смартфон,з апечатанный"
156,куплючемоданнаколёсах,"[1, 14, 17]",к уплючемоданна кол ёсах
157,ищупарикмахеранадом,"[3, 9, 16]",ищу парикм ахерана дом
158,"сдамсклад,50метров","[4, 12, 15]","сдам склад,50 мет ров"
159,"куплюпроектор,дляфильмов","[1, 6, 16, 20]","к уплюп роектор,дл яфил ьмов"
160,ищугитариставгруппу,"[5, 13, 15]",ищуги таристав гр уппу
161,новыйкухонныйкомбайн,"[5, 14]",новый кухонныйк омбайн
162,"куплюдиван,тканьсерая","[1, 12]","к уплюдиван,т каньсерая"
163,ищуплитуэлектрическую,"[3, 9, 10]",ищу плитуэ л ектрическую
164,"сдамстудиювцентре,уютная","[1, 5, 12, 14, 22]","с дамс тудиювц ен тре,уютн ая"
165,куплюмясорубкуручную,"[1, 8, 16]",к уплюмяс орубкуру чную
166,ищушеф-поваравресторан,"[14, 16]",ищушеф-поварав ре сторан
167,новыйматрасортопедический,"[5, 11]",новый матрас ортопедический
168,"куплютренажёр,вело","[6, 9]","куплют рен ажёр,вело"
169,"ищуадвоката,консультация","[3, 13, 14]","ищу адвоката,к о нсультация"
170,"сдамофис,арендапомесячно","[4, 10, 17, 20]","сдам офис,а рендапо мес ячно"
171,куплюкартинумаслом,"[1, 6]",к уплюк артинумаслом
172,ищубухгалтеранаполставки,"[3, 7, 17]",ищу бухг алтеранапо лставки
173,новаяпечьмикроволновая,"[5, 10]",новая печьм икроволновая
174,куплюлодкурезиновую,"[1, 6, 12]",к уплюл одкуре зиновую
175,"ищулогопеда,занятиядома","[6, 7, 13, 21]","ищулог о педа,з анятиядо ма"
176,"сдамквартиру,ремонтсвежий","[1, 5, 15, 22]","с дамк вартиру,ре монтсве жий"
177,"ищумебельщика,кухняподзаказ","[5, 15, 21, 25]","ищуме бельщика,к ухняпо дзак аз"
178,новыйкулердляводы,"[5, 11, 15]",новый кулерд ляво ды
179,куплюстолскладной,"[1, 6, 11]",к уплюс толск ладной
180,"ищуводителя,ночныесмены","[3, 13, 20]","ищу водителя,н очныесм ены"
181,"сдамквартиру,толькорусским","[1, 5, 15, 22]","с дамк вартиру,то лькорус ским"
182,куплюплатьевечернее,"[1, 6, 13]",к уплюп латьеве чернее
183,"ищухирурга,консультациясрочно","[4, 12, 25]","ищух ирурга,к онсультацияср очно"
184,новыйфильтрдляводы,"[5, 12, 16]",новый фильтрд ляво ды
185,куплюкреслоофисное,"[1, 6, 13]",к уплюк реслооф исное
186,ищумассажистанадом,"[3, 16]",ищу массажистанад ом
187,сдампомещениеподсклад,"[1, 5, 15, 19]",с дамп омещениепо дскл ад
188,куплютелефонOppo,[6],куплют елефонOppo
189,"ищупсихолога,опытобязателен","[14, 19]","ищупсихолога,о пытоб язателен"
190,новаяколонкаJBL,"[5, 13]",новая колонкаJ BL
191,куплюджинсыLevi’s,"[1, 12]",к уплюджинсыL evi’s
192,"ищудомработницу,центр","[6, 17]","ищудом работницу,ц ентр"
193,"сдамдом,участок6соток","[1, 5, 10, 18, 20]","с дамд ом,уч асток6со то к"
194,куплюконструкторLego,"[1, 6, 18]",к уплюк онструкторLe go
195,ищухудожникадляпортрета,"[4, 13, 17]",ищух удожникад ляпо ртрета
196,"новыйблендер,гарантия","[5, 14]","новый блендер,г арантия"
197,"куплювидеокамеру,недорого","[1, 6, 20]","к уплюв идеокамеру,нед орого"
198,ищурепетиторапохимии,"[5, 14, 17]",ищуре петиторап охи мии
199,"сдамдачу,лесрядом","[1, 10]","с дамдачу,л есрядом"
200,куплюзимниешины,"[1, 12]",к уплюзимниеш ины
201,ищугидапоМоскве,"[5, 7, 10]",ищуги да поМ оскве
202,новаялюстрапотолочная,"[5, 12]",новая люстрап отолочная
203,"куплюковёр,шерстяной","[1, 12]","к уплюковёр,ш ерстяной"
204,ищуарендугаража,"[3, 10]",ищу арендуг аража
205,сдамквартирусбалконом,"[1, 14, 16]",с дамквартирусб ал коном
206,куплюудочкудлярыбалки,"[1, 6, 13, 17]",к уплюу дочкудл ярыб алки
207,"ищукомпозитора,музыка","[3, 7, 17]","ищу комп озитора,му зыка"
208,"новыйтостер,черный","[5, 13]","новый тостер,ч ерный"
209,куплюстоловыеприборы,"[1, 6, 15]",к уплюс толовыепр иборы
210,ищуинженерапоремонту,"[3, 5, 6, 13, 16]",ищу ин ж енерапо рем онту
211,"сдампарковку,центр","[1, 5, 15]","с дамп арковку,це нтр"
212,куплюрезинузимнюю,"[1, 6]",к уплюр езинузимнюю
213,ищуактерадлясъемок,"[3, 10, 14]",ищу актерад лясъ емок
214,новаяплитаэлектрическая,"[5, 11]",новая плитаэ лектрическая
215,куплювидеокартуRTX,"[1, 6]",к уплюв идеокартуRTX
216,"ищуюриста,оформлениедоговора","[4, 11, 22]","ищую риста,о формлениедо говора"
217,"сдамсклад,сухоепомещение","[1, 5, 12, 18]","с дамс клад,су хоепом ещение"
218,куплюкомодбелый,"[1, 9]",к уплюкомо дбелый
219,"ищуплиточника,срочно","[3, 15]","ищу плиточника,с рочно"
220,новаялампанастольная,[5],новая лампанастольная
221,"куплюскейтборд,новый","[1, 9, 17]","к уплюскей тборд,но вый"
222,сдамкомнатусремонтом,"[1, 5, 13, 15]",с дамк омнатуср ем онтом
223,куплюроутерTP-Link,"[7, 12]",куплюро утерT P-Link
224,ищупарнядлясъёмок,"[3, 9, 13]",ищу парняд лясъ ёмок
225,"новыйковёр,мягкий","[5, 12]","новый ковёр,м ягкий"
226,куплючасыCasio,[9],куплючасы Casio
227,ищупоставщикаовощей,"[3, 14]",ищу поставщикао вощей
228,"сдамстудию,центргорода","[1, 5, 13, 19]","с дамс тудию,це нтргор ода"
229,куплюпылесосмоющий,[8],куплюпыл есосмоющий
230,ищудизайнераинтерьера,"[5, 13]",ищуди зайнераи нтерьера
231,"новыйхолодильник,белый","[5, 18]","новый холодильник,б елый"
232,"ищуняню,полныйдень","[8, 15]","ищуняню, полныйд ень"
233,сдамквартирустехникой,"[1, 5, 14, 16]",с дамк вартируст ех никой
234,куплюплитугазовую,[5],куплю плитугазовую
235,ищуврачакардиолога,"[3, 9]",ищу врачак ардиолога
236,новыйчайникэлектрический,"[5, 12]",новый чайникэ лектрический
237,куплюстульядеревянные,"[1, 12]",к уплюстульяд еревянные
238,ищуповаравкафе,[3],ищу поваравкафе
239,сдамдомнамесяц,"[1, 5, 9, 12]",с дамд омна мес яц
240,куплюавтомобильбу,"[1, 6]",к уплюа втомобильбу
241,ищупрограммистаpython,"[3, 16]",ищу программистаp ython
242,новаяпосудомойкаBosch,"[5, 8, 16]",новая пос удомойка Bosch
243,куплюкамеруCanon,"[1, 6]",к уплюк амеруCanon
244,ищуработубариста,"[3, 10]",ищу работуб ариста
245,"сдамстудию,срочно","[1, 5, 13]","с дамс тудию,ср очно"
246,куплюайфон15про,"[1, 6, 12]",к уплюа йфон15 про
247,сдамквартирувцентре,"[1, 14, 16]",с дамквартирувц ен тре
248,ищуработупрограммистом,"[3, 10]",ищу работуп рограммистом
249,новаямебельвналичии,"[5, 12, 14]",новая мебельв на личии
250,куплютелевизорSamsung,[15],куплютелевизорS amsung
251,ищутаксидоаэропорта,"[3, 11]",ищу таксидоа эропорта
252,срочноотдамкотенка,"[6, 12]",срочно отдамк отенка
253,куплюхолодильникбу,[1],к уплюхолодильникбу
254,сдаюдачусбаней,"[4, 9]",сдаю дачус баней
255,куплювелосипедновый,"[1, 6]",к уплюв елосипедновый
256,ищустудиюбезмебели,"[3, 10]",ищу студиюб езмебели
257,сдамкомнатунамесяц,"[1, 5, 13, 16]",с дамк омнатуна мес яц
258,куплюмониторSamsung,"[1, 13]",к уплюмониторS amsung
259,ищусобакухаски,"[3, 10]",ищу собакух аски
260,новаякурткадоставказавтра,"[5, 12, 21]",новая курткад оставказа втра
261,куплютелевизорLG,"[1, 10]",к уплютелев изорLG
262,ищуучителяиспанского,"[3, 11]",ищу учителяи спанского
263,сдамгаражсрочно,"[1, 5, 11]",с дамг аражср очно
264,куплюноутбукLenovo,[],куплюноутбукLenovo
265,ищуквартирупосуточно,"[3, 12, 15]",ищу квартируп осу точно
266,новыйстолистулья,[5],новый столистулья
267,куплютелефонPixel,[13],куплютелефонP ixel
268,ищуврачастоматолога,[7],ищуврач астоматолога
269,сдаюофисваренду,"[1, 5, 10, 12]",с даюо фисва ре нду
270,куплюгитаруGibson,"[1, 12]",к уплюгитаруG ibson
271,ищуработукурьером,"[3, 10]",ищу работук урьером
272,новыйноутбукMSI,"[5, 13]",новый ноутбукM SI
273,куплюмикроволновкуLG,"[1, 6]",к уплюм икроволновкуLG
274,ищудевушкудляпрогулок,"[3, 11, 15]",ищу девушкуд ляпр огулок
275,сдамскладнедорого,"[1, 5, 11]",с дамс кладне дорого
276,куплюайпадбу,[6],куплюа йпадбу
277,ищусобакутаксу,"[3, 10]",ищу собакут аксу
278,куплюкомпьютерMac,"[5, 15]",куплю компьютерM ac
279,ищурепетиторапофизике,"[5, 14, 17]",ищуре петиторап офи зике
280,сдамквартирупосуточно,"[1, 5, 14, 17]",с дамк вартирупо сут очно
281,куплюдиванкожаный,[1],к уплюдиванкожаный
282,ищуработудизайнером,"[3, 10]",ищу работуд изайнером
283,новыйхолодильникдоставка,"[5, 17]",новый холодильникд оставка
284,куплютелевизорOLED,"[1, 10]",к уплютелев изорOLED
285,ищустудиюсремонтом,"[3, 10, 12]",ищу студиюс ре монтом
286,сдамкомнатубезмебели,"[1, 12]",с дамкомнатуб езмебели
287,куплюпылесосXiaomi,"[5, 7, 13]",куплю пы лесосX iaomi
288,ищурепетиторапорусскому,"[5, 14, 17]",ищуре петиторап ору сскому
289,новаямебельназаказ,[5],новая мебельназаказ
290,куплюнаушникиSony,"[1, 6]",к уплюн аушникиSony
291,ищумастерапомебели,"[5, 11]",ищума стерап омебели
292,сдамдачуналето,[1],с дамдачуналето
293,ищуработутестировщиком,"[3, 10]",ищу работут естировщиком
294,новыйтелефонHonor,"[5, 13]",новый телефонH onor
295,куплюматрасбу,[8],куплюмат расбу
296,ищусобакубигля,"[3, 9]",ищу собаку бигля
297,сдамгаражвцентре,"[1, 5, 11, 13]",с дамг аражвц ен тре
298,куплюноутбукAcer,"[8, 14]",куплюноу тбукAc er
299,ищустудиюнадлительныйсрок,"[3, 10, 23]",ищу студиюн адлительныйср ок
300,новыйдиванвналичии,"[5, 11, 13]",новый диванв на личии
301,куплюстолобеденный,"[1, 6]",к уплюс толобеденный
302,ищуврачатерапевта,[13],ищуврачатерап евта
303,сдаюквартирусремонтом,"[1, 5, 14, 16]",с даюк вартируср ем онтом
304,куплюмиксерBosch,[],куплюмиксерBosch
305,ищуподработкувечером,"[3, 14]",ищу подработкув ечером
306,новаякурткамужская,"[5, 12]",новая курткам ужская
307,куплютелевизорJVC,[10],куплютелев изорJVC
308,ищурепетиторапоинформатике,"[5, 14, 17]",ищуре петиторап оин форматике
309,сдамдомуморя,"[1, 5, 10]",с дамд омумо ря
310,куплюпланшетHuawei,"[5, 13]",куплю планшетH uawei
311,ищуработуменеджером,"[3, 10]",ищу работум енеджером
312,новыйноутбукDell,[5],новый ноутбукDell
313,куплюкреслокомпьютерное,"[1, 6]",к уплюк реслокомпьютерное
314,ищусобакуджекрассел,"[3, 15]",ищу собакуджекра ссел
315,сдамстудиюбезпосредников,"[1, 5, 12, 16]",с дамс тудиюбе зпос редников
316,куплювелосипедGiant,"[1, 6, 16]",к уплюв елосипедGi ant
317,ищуврачахирурга,[10],ищуврачахи рурга
318,новыйпылесосдоставка,"[5, 10]",новый пылес осдоставка
319,куплюайфон13,"[1, 6]",к уплюа йфон13
320,сдамкомнатудлядевушки,"[1, 13, 17]",с дамкомнатудл ядев ушки
321,куплюхолодильникновый,[1],к уплюхолодильникновый
322,ищуработуводителем,"[3, 10]",ищу работув одителем
323,новыйдиванугловой,"[5, 12]",новый дивануг ловой
324,ищустудиюсмебелью,"[3, 10, 12]",ищу студиюс ме белью
325,сдамдачунедорого,"[1, 9]",с дамдачун едорого
326,куплюмикроволновкубу,"[1, 6]",к уплюм икроволновкубу
327,ищусобакупуделя,"[3, 10]",ищу собакуп уделя
328,новыйтелевизорTCL,"[5, 15]",новый телевизорT CL
329,куплюноутбукAsus,"[7, 13]",куплюно утбукA sus
330,ищуучителяфранцузского,"[3, 11]",ищу учителяф ранцузского
331,ищурепетиторапоалгебре,"[5, 14, 17]",ищуре петиторап оал гебре
332,новаякухнявналичии,"[5, 11, 13]",новая кухняв на личии
333,куплюкомпьютерDell,"[1, 6]",к уплюк омпьютерDell
334,ищуработупродавцом,"[3, 10]",ищу работуп родавцом
335,куплютелевизорSharp,[10],куплютелев изорSharp
336,ищусобакулайку,[3],ищу собакулайку
337,продамдиванбу,[6],продам диванбу
338,2024год,[4],2024 год
339,ищуработупрограммистомудаленно,"[3, 10, 24]",ищу работуп рограммистомуд аленно
340,"холодильниксломался,помогитесрочно","[11, 21, 28]","холодильник сломался,п омогите срочно"
341,АВТОМОЙКАРЯДОМ,[7],АВТОМОЙ КАРЯДОМ
342,телевизорLG55,[5],телев изорLG55
343,МоскваIkeaдоставка,"[6, 11]",Москва Ikeaд оставка
344,срочноищуквартирууметро,"[6, 10, 19, 21]",срочно ищук вартируум ет ро
345,"ноутбукневключается,чтоделать?","[2, 8, 11, 23, 27]","но утбукн евк лючается,что дела ть?"
346,новыйстолIkeaдоставка,"[5, 14]",новый столIkeaд оставка
347,продаюкошкувхорошиеруки,"[6, 12, 14, 22]",продаю кошкув хо рошиерук и
348,Windows11незапускается,[],Windows11незапускается
349,продаюPlaystation5почтиновая,[6],продаю Playstation5почтиновая
350,квартирасремонтомимебелью,"[8, 10, 19, 21]",квартира ср емонтомим еб елью
351,"Avitoнеоткрывается,помогите","[8, 21]","Avitoнео ткрывается,по могите"
352,хочукупитьвелосипедбу,"[5, 11]",хочук упитьв елосипедбу
353,ищурепетиторапоматематике,"[5, 14, 17]",ищуре петиторап ома тематике
354,сушидоставканочью,"[4, 13]",суши доставкан очью
355,нужнапомощьвпереездесрочно,"[5, 12, 14, 23]",нужна помощьв пе реездесро чно
356,айфон14промакс,[9],айфон14пр омакс
357,ищуключиотмашины,"[2, 9, 12]",ищ уключио тма шины
358,Сбербанкнеработаетбанкомат,"[8, 11, 20]",Сбербанк нер аботаетба нкомат
359,продаюкомодбуторг,"[6, 12]",продаю комодб уторг
360,куплюцветырозытюльпаны,"[1, 6, 11, 16]",к уплюц ветыр озытю льпаны
361,хочузаказатьтаксиваэропорт,"[4, 14, 21]",хочу заказатьта ксиваэр опорт
362,ищудомвдеревненалето,"[6, 8]",ищудом вд еревненалето
363,куплюноутбукдляигр,"[8, 14, 18]",куплюноу тбукдл яигр
364,отдамдаромстарыйшкаф,"[5, 11, 17]",отдам даромс тарыйш каф
365,ищумастерапоремонтуноутбуков,"[5, 11, 14, 22]",ищума стерап оре монтуноу тбуков
366,автосервиспоблизости,"[7, 11]",автосер висп облизости
367,продаюiPhoneXR,[6],продаю iPhoneXR
368,ищуквартирувМосквенедорого,"[3, 12, 14, 21]",ищу квартирув Мо сквенед орого
369,собакапотеряласьнаулице,"[6, 17, 20]",собака потеряласьн аул ице
370,ищуработуофициантомвечером,"[3, 10, 21]",ищу работуо фициантомве чером
